,ID,Name,active,Product Type,Sale Price,Cost,Barcode,Description,Sale Description
162,PA_00162,#Red Plum,True,Stockable Product,0.0,0.0,00162_20161111,,PLUM(RED) 23LB 紅李子
163,PA_00163,#Rice,False,Stockable Product,0.0,,00163_20161111,,Rice
164,PA_00164,#Shimeji-Brown,False,Stockable Product,0.0,,00164_20161111,,Shimeji-Brown (30pk)  蟹味菇
165,PA_00165,#Shimeji-White,False,Stockable Product,0.0,,00165_20161111,,Shimeji-White (30pk)  白玉菇
166,PA_00166,#Snow Crab,False,Stockable Product,0.0,,00166_20161111,,Snow Crab (34pk ) 白雪菇 Produce of China
167,PA_00167,#Squash Kadu,False,Stockable Product,0.0,,00167_20161111,,SQUASH KADU
168,PA_00168,#Strawberry,False,Stockable Product,0.0,,00168_20161111,,STRAWBERRY 草莓
169,PA_00169,#Sugar Plum,False,Stockable Product,0.0,0.0,00169_20161111,,SUGAR PLUM (25-28lb) 甜李子
170,PA_00170,#SUNCHOKE,False,Stockable Product,0.0,0.0,00170_20161111,,Sunchoke(case)洋薑
171,PA_00171,#Tamarind Green,False,Stockable Product,0.0,0.0,00171_20161111,,Green Tamarind  酸子 Produce of Thailand
172,PA_00172,#Taro Leaf,False,Stockable Product,0.0,0.0,00172_20161111,,Taro Leaf
173,PA_00173,#Termeric,False,Stockable Product,0.0,0.0,00173_20161111,,Termeric
174,PA_00174,#Thai Ginger,False,Stockable Product,0.0,0.0,00174_20161111,,THAI GINGER (30LB) 泰國薑
175,PA_00175,#Thai Guava,False,Stockable Product,0.0,,00175_20161111,,THAI GUAVA 30LB
176,PA_00176,#Tomato 25LB,False,Stockable Product,0.0,0.0,00176_20161111,,Tomato 25LB 番茄
177,PA_00177,#Tomato 4*5,False,Stockable Product,0.0,0.0,00177_20161111,,Tomato 4*5 Proudce of U.S.A
178,PA_00178,#Tomato Grape,False,Stockable Product,0.0,0.0,00178_20161111,,Tomato Grape 20lbs LOOSE
179,PA_00179,#Water Bamboo (TW),False,Stockable Product,0.0,0.0,00179_20161111,,Water Bamboo (TW) 20PK 台灣筊白筍 Produce of Taiwan
180,PA_00180,#Water Caltrop,False,Stockable Product,0.0,0.0,00180_20161111,,Water Caltrop 菱角
181,PA_00181,#Watermelon,False,Stockable Product,30.0,15.0,00181_20161111,,Watermelon (4-5CT) 西瓜Produce of U.S.A
182,PA_00182,#White Bittermelon,False,Stockable Product,0.0,,00182_20161111,,White Bittermelon (30lb)  Produce of U.S.A
183,PA_00183,#White Bottom Mushroom,False,Stockable Product,0.0,,00183_20161111,,White Bottom Mushroom (8oz)
184,PA_00184,#White peach,False,Stockable Product,0.0,0.0,00184_20161111,,White peach(32/40) LAYER白桃
185,PA_00185,#White Peach gift box,False,Stockable Product,0.0,0.0,00185_20161111,,White Peach (22ct) gift box 白桃
186,PA_00186,#White Yam,False,Stockable Product,0.0,0.0,00186_20161111,,White Yam
187,PA_00187,#Ya Li Pear (88's),False,Stockable Product,0.0,0.0,00187_20161111,,Ya Li Pear (88's)  鴨梨Produce of China
188,PA_00188,#Ya Li Pear 16's,False,Stockable Product,0.0,0.0,00188_20161111,,Ya Li Pear (16's)  鴨梨Produce of USA
189,PA_00189,#Ya Li Pear 45's,False,Stockable Product,0.0,,00189_20161111,,Ya Li Pear (45's)  鴨梨Produce of China
190,PA_00190,#Ya Li Pear 56's,True,Stockable Product,0.0,0.0,00190_20161111,,Ya Li Pear (56's)  鴨梨 Produce of China
191,PA_00191,#Yali Pear(BIN),True,Stockable Product,0.0,0.0,00191_20161111,,Yali Pear(BIN)鴨梨
192,PA_00192,#Yam (red),False,Stockable Product,0.0,0.0,00192_20161111,,Yam (red) 40lb
193,PA_00193,#Yellow Squash,False,Stockable Product,0.0,0.0,00193_20161111,,Yellow Squash 黃瓜 Produce of U.S.A.
194,PA_00194,#Yellow Tamaric,False,Stockable Product,0.0,0.0,00194_20161111,,Yellow Tamaric
195,PA_00195,#Young Garlic,False,Stockable Product,0.0,0.0,00195_20161111,,Young Garlic(30lbs)
196,PA_00196,#Yulmoo,False,Stockable Product,0.0,0.0,00196_20161111,,Yulmoo(50ct)
197,PA_00197,AC,True,Stockable Product,0.0,,00197_20161111,,A Choy (25lb)  A 菜   Produce of U.S.A
198,PA_00198,ACS,True,Stockable Product,0.0,,00198_20161111,,A Choy Sum (30-40lb) A菜心 Produce of U.S.A
199,PA_00199,AH,False,Stockable Product,0.0,0.0,00199_20161111,,Arrow Head (44lb) 慈菇 Produce of China
200,PA_00200,Aloe Vera,False,Stockable Product,0.0,0.0,00200_20161111,,Aloe Vera (30lb) 蘆薈
201,PA_00201,Antler Mushroom,False,Stockable Product,0.0,0.0,00201_20161111,,Antler Mushroom(150g) 20pk鹿耳菇
202,PA_00202,APPF,True,Stockable Product,0.0,,00202_20161111,,Fuji Apple (56-64-72-80-88ct) 富士蘋果 Produce of U.S.A
203,PA_00203,APPFP,True,Stockable Product,0.0,,00203_20161111,,Fuji Apple (3lbx12pk) 富士蘋果 Produce of U.S.A
204,PA_00204,APPG,True,Stockable Product,0.0,0.0,00204_20161111,,Gala Apple (56-64ct) 嘎拉蘋果 Produce of U.S.A
205,PA_00205,APPGP,True,Stockable Product,0.0,0.0,00205_20161111,,Gala Apple (3lbx12pk) 嘎拉蘋果 Produce of U.S.A
206,PA_00206,APPGR,True,Stockable Product,0.0,0.0,00206_20161111,,Granny Smith Apple (64ct) 青蘋果 Produce of U.S.A
207,PA_00207,Apple(SWEET AMERAL),False,Stockable Product,0.0,0.0,00207_20161111,,Apple(sweet ameral apple)青龍蘋果
208,PA_00208,Apple(WASHINGTON),False,Stockable Product,0.0,0.0,00208_20161111,,Apple(WASHINGTON) pacific Rose 100's(70ct)~27lbs蘋果
209,PA_00209,APPR,True,Stockable Product,0.0,0.0,00209_20161111,,Red Apple (56ct) 紅蘋果 Produce of U.S.A
210,PA_00210,AR,True,Stockable Product,0.0,,00210_20161111,,Arrow Root (44lb) 粉葛 Produce of China
211,PA_00211,Asia Pear(BROWN),True,Stockable Product,0.0,,00211_20161111,,Brown Asian Pear (10-12)   亞洲梨Produce of USA
212,PA_00212,Asia Pear(CRUNCHY),True,Stockable Product,0.0,,00212_20161111,,Asia Pear (TRAY) 亞洲梨 Produce of U.S.A
213,PA_00213,ASP,True,Stockable Product,0.0,0.0,00213_20161111,,Asparagus (11lb) 蘆筍 Produce of U.S.A.
214,PA_00214,BABF,True,Stockable Product,0.0,,00214_20161111,,Fresh Bamboo (22lb) 新鮮冬筍 Produce of China
215,PA_00215,BABG,True,Stockable Product,0.0,,00215_20161111,,Green Bamboo Shoot (300gx24pk) 綠竹筍 Produce of China
216,PA_00216,Baby Banana,False,Stockable Product,0.0,,00216_20161111,,Baby Banana (15lb) 小香蕉
217,PA_00217,Baby Dill,True,Stockable Product,0.0,0.0,00217_20161111,,Baby Dill (1dz) Produce Of USA
218,PA_00218,Bac Ha,True,Stockable Product,0.0,0.0,00218_20161111,,Bac Ha (30lb) 拔哈 Pooduce of U.S.A
